CODIGO;CODIGO_BARRAS;NOME_PRODUTO;UN_MEDIDA;Estoque;PRECO_FORNECEDOR;PRECO_CUSTO;PRECO_MINIMO_VENDA;PRECO_VENDA;NCM;COD_SITUACAO T._ICM;CSOSN;ALICOTA_ICMS;REDUCAO_ICMS;MVA
11510;11510;*PINO MACHO 2P+T 10A PRETO - FAME 08321420;UN;0.0;3.93;5.3;5.3;10.0;8536.90.90;60.0;500.0;0.0;0.0;0.0
11510;7,90E+12;*PINO MACHO 2P+T 10A PRETO - FAME 08321420;UN;6.0;3.93;5.3;5.3;10.0;8536.90.90;60.0;500.0;0.0;0.0;0.0
11511;11511;*PINO MACHO 2P+T 20A PRETO - FAME 08321430;UN;6.0;4.38;5.91;5.91;12.0;8536.90.90;60.0;500.0;0.0;0.0;0.0
11511;7,90E+12;*PINO MACHO 2P+T 20A PRETO - FAME 08321430;UN;1.0;4.38;5.91;5.91;12.0;8536.90.90;60.0;500.0;0.0;0.0;0.0
11512;11512;*PINO FEMEA 2P 10A PRETO FAME COD2144;UN;1.0;4.27;5.76;5.76;12.0;8536.69.10;60.0;500.0;0.0;0.0;0.0
11512;7,90E+12;*PINO FEMEA 2P 10A PRETO FAME COD2144;UN;2.0;4.27;5.76;5.76;12.0;8536.69.10;60.0;500.0;0.0;0.0;0.0
11513;11513;*PINO FEMEA 2P+T 10A PRETO - FAME COD2146;UN;2.0;5.09;6.87;6.87;13.0;8536.69.10;60.0;500.0;0.0;0.0;0.0
11513;7,90E+12;*PINO FEMEA 2P+T 10A PRETO - FAME COD2146;UN;0.0;5.09;6.87;6.87;13.0;8536.69.10;60.0;500.0;0.0;0.0;0.0
11514;11514;*PINO FEMEA 2P+T 20A PRETO - FAME COD 2147;UN;0.0;5.65;7.62;7.62;15.0;8536.69.10;60.0;500.0;0.0;0.0;0.0
11514;7,90E+12;*PINO FEMEA 2P+T 20A PRETO - FAME COD 2147;UN;2.0;5.65;7.62;7.62;15.0;8536.69.10;60.0;500.0;0.0;0.0;0.0
11515;11515;*CANTONEIRA 30CM MAO FRANCESA BRANCA MAX;UN;2.0;7.06;7.06;7.06;13.5;8302.42.00;0.0;102.0;18.0;0.0;0.0
11515;7,90E+12;*CANTONEIRA 30CM MAO FRANCESA BRANCA MAX;UN;1.0;7.06;7.06;7.06;13.5;8302.42.00;0.0;102.0;18.0;0.0;0.0
